time,gt_x,gt_y,gt_vx,gt_vy,fused_x,fused_y,fused_vx,fused_vy,lidar_x,lidar_y,radar_x,radar_y
15.649999,-49.996640,0.579620,-0.115924,-9.999328,-49.980668,0.750935,-0.368029,-10.179531,-49.937785,0.930514,-50.043344,0.893949
15.659999,-49.997700,0.479625,-0.095925,-9.999540,-49.980668,0.750935,-0.368029,-10.179531,-49.937785,0.930514,-50.043344,0.893949
15.669999,-49.998559,0.379629,-0.075926,-9.999712,-49.980668,0.750935,-0.368029,-10.179531,-49.937785,0.930514,-50.043344,0.893949
15.679999,-49.999218,0.279631,-0.055926,-9.999844,-49.984200,0.234277,-0.175583,-10.199384,-49.937785,0.930514,-50.062864,0.288990
15.689999,-49.999677,0.179632,-0.035926,-9.999935,-49.984200,0.234277,-0.175583,-10.199384,-49.937785,0.930514,-50.062864,0.288990
15.699999,-49.999937,0.079633,-0.015927,-9.999987,-49.984200,0.234277,-0.175583,-10.199384,-49.937785,0.930514,-50.062864,0.288990
15.709999,-49.999996,-0.020367,0.004073,-9.999999,-49.993940,0.044046,-0.172961,-9.907966,-50.038274,0.060028,-50.062864,0.288990
15.719999,-49.999855,-0.120367,0.024073,-9.999971,-49.993940,0.044046,-0.172961,-9.907966,-50.038274,0.060028,-50.062864,0.288990
15.729999,-49.999514,-0.220367,0.044073,-9.999903,-49.988882,-0.151257,0.028470,-9.896519,-50.038274,0.060028,-50.074233,-0.201813
15.739999,-49.998974,-0.320365,0.064073,-9.999795,-49.988882,-0.151257,0.028470,-9.896519,-50.038274,0.060028,-50.074233,-0.201813
15.749999,-49.998233,-0.420362,0.084072,-9.999647,-49.988882,-0.151257,0.028470,-9.896519,-50.038274,0.060028,-50.074233,-0.201813
15.759999,-49.997292,-0.520358,0.104072,-9.999458,-49.988882,-0.151257,0.028470,-9.896519,-50.038274,0.060028,-50.074233,-0.201813
15.769999,-49.996151,-0.620351,0.124070,-9.999230,-49.988882,-0.151257,0.028470,-9.896519,-50.038274,0.060028,-50.074233,-0.201813
